,index,team,player,location
288,437,England,Harry Maguire,"[34.8, 9.4]"
289,438,England,Luke Shaw,"[45.1, 0.3]"
290,439,England,Philip Foden,"[58.0, 2.8]"
291,440,England,Harry Kane,"[71.9, 6.0]"
292,441,England,Jude Bellingham,"[106.9, 21.3]"
293,447,England,Jordan Pickford,"[6.0, 44.0]"
294,448,England,Bukayo Saka,"[112.9, 61.8]"
295,451,England,Declan Rice,"[57.4, 68.4]"
296,452,England,Jude Bellingham,"[63.7, 61.8]"
297,453,England,Jordan Brian Henderson,"[66.3, 67.3]"
298,454,England,Harry Kane,"[78.2, 58.3]"
299,455,England,Bukayo Saka,"[103.4, 63.9]"
300,460,England,John Stones,"[38.3, 56.1]"
301,461,England,Jordan Pickford,"[14.5, 34.0]"
302,463,England,Kyle Walker,"[52.1, 59.2]"
303,464,England,Kyle Walker,"[51.6, 58.6]"
304,466,England,Luke Shaw,"[59.2, 26.5]"
305,467,England,Jude Bellingham,"[92.3, 23.8]"
306,468,England,Luke Shaw,"[117.9, 24.2]"
307,469,England,Philip Foden,"[120.0, 0.1]"
308,470,England,Jude Bellingham,"[93.6, 27.6]"
309,471,England,Bukayo Saka,"[93.6, 49.6]"
310,473,England,Harry Maguire,"[72.7, 74.8]"
311,474,England,Kyle Walker,"[61.1, 80.0]"
312,475,England,John Stones,"[38.9, 76.0]"
313,476,England,Kyle Walker,"[47.6, 75.1]"
314,477,England,Jordan Pickford,"[14.5, 52.9]"
315,478,England,John Stones,"[19.8, 58.3]"
316,479,England,Declan Rice,"[36.6, 56.9]"
317,480,England,Kyle Walker,"[35.9, 76.6]"
318,481,England,Jordan Brian Henderson,"[48.2, 73.6]"
319,482,England,Declan Rice,"[103.4, 65.5]"
320,483,England,Philip Foden,"[120.0, 80.0]"
321,484,England,Luke Shaw,"[75.7, 0.1]"
322,485,England,Kyle Walker,"[43.7, 26.3]"
323,486,England,Jude Bellingham,"[43.2, 45.3]"
324,487,England,Jordan Pickford,"[23.2, 30.8]"
325,488,England,Jordan Brian Henderson,"[70.4, 70.7]"
326,489,England,Bukayo Saka,"[76.4, 61.8]"
327,490,England,Jude Bellingham,"[68.3, 64.4]"
328,491,England,Jordan Brian Henderson,"[81.2, 75.1]"
329,505,England,Kyle Walker,"[17.2, 67.3]"
330,506,England,Bukayo Saka,"[28.2, 68.8]"
331,512,England,Jude Bellingham,"[63.5, 44.1]"
332,513,England,Philip Foden,"[82.6, 28.8]"
333,514,England,Jude Bellingham,"[61.0, 40.1]"
334,515,England,Harry Maguire,"[42.2, 43.1]"
335,516,England,Kyle Walker,"[72.9, 80.0]"
336,517,England,Declan Rice,"[76.8, 36.9]"
337,518,England,Luke Shaw,"[68.7, 4.5]"
338,519,England,Philip Foden,"[75.4, 5.6]"
339,520,England,Harry Maguire,"[44.8, 34.2]"
340,521,England,John Stones,"[45.0, 52.7]"
341,522,England,Declan Rice,"[54.6, 45.3]"
342,523,England,Kyle Walker,"[48.2, 72.1]"
343,524,England,John Stones,"[16.5, 59.9]"
344,525,England,Jordan Pickford,"[9.1, 35.6]"
345,526,England,Philip Foden,"[63.8, 11.0]"
346,528,England,Harry Maguire,"[32.7, 3.3]"
347,531,England,Luke Shaw,"[8.3, 5.5]"
348,532,England,Luke Shaw,"[28.5, 0.1]"
349,533,England,Philip Foden,"[50.5, 8.5]"
350,538,England,John Stones,"[55.5, 52.1]"
351,539,England,Kyle Walker,"[53.7, 72.1]"
352,540,England,Jordan Brian Henderson,"[63.5, 76.4]"
353,541,England,Bukayo Saka,"[78.0, 77.3]"
354,542,England,Kyle Walker,"[48.3, 76.2]"
355,543,England,Declan Rice,"[51.5, 61.2]"
356,544,England,John Stones,"[37.8, 42.6]"
357,545,England,Harry Maguire,"[33.8, 15.7]"
358,546,England,Declan Rice,"[45.3, 27.8]"
359,547,England,John Stones,"[43.1, 31.0]"
360,548,England,Jude Bellingham,"[57.6, 25.0]"
361,549,England,Harry Maguire,"[35.3, 23.6]"
362,550,England,Bukayo Saka,"[101.0, 58.5]"
363,551,England,Jordan Brian Henderson,"[114.0, 58.0]"
364,552,England,Declan Rice,"[83.0, 51.6]"
365,554,England,John Stones,"[71.6, 41.4]"
366,555,England,Luke Shaw,"[64.1, 18.3]"
367,556,England,Harry Maguire,"[51.1, 25.6]"
368,562,England,John Stones,"[62.4, 52.7]"
369,563,England,Harry Maguire,"[44.4, 40.5]"
370,564,England,Kyle Walker,"[45.4, 73.9]"
371,565,England,John Stones,"[40.5, 67.5]"
372,566,England,Kyle Walker,"[47.0, 73.9]"
373,567,England,John Stones,"[39.8, 62.6]"
374,568,England,Declan Rice,"[54.9, 37.7]"
375,569,England,Luke Shaw,"[49.2, 4.5]"
376,570,England,Jude Bellingham,"[62.4, 21.8]"
377,571,England,Harry Kane,"[70.8, 46.6]"
378,578,England,Jordan Pickford,"[7.0, 44.1]"
379,579,England,Declan Rice,"[22.7, 33.1]"
380,580,England,Harry Maguire,"[14.9, 23.3]"
381,581,England,Luke Shaw,"[40.2, 3.5]"
382,582,England,Harry Maguire,"[13.3, 14.0]"
383,583,England,Jordan Pickford,"[12.3, 43.2]"
384,584,England,John Stones,"[38.7, 61.5]"
385,585,England,Bukayo Saka,"[106.7, 80.0]"
386,586,England,Jordan Brian Henderson,"[81.3, 75.3]"
387,587,England,Declan Rice,"[76.1, 65.8]"
388,588,England,Harry Kane,"[86.4, 62.5]"
389,591,England,Declan Rice,"[75.1, 49.6]"
390,592,England,Luke Shaw,"[67.6, 40.3]"
391,593,England,John Stones,"[45.0, 61.5]"
392,594,England,Jordan Pickford,"[22.2, 37.7]"
393,595,England,John Stones,"[38.7, 71.2]"
394,596,England,Declan Rice,"[39.2, 69.5]"
395,597,England,Harry Maguire,"[44.4, 36.2]"
396,598,England,Luke Shaw,"[61.8, 5.6]"
397,599,England,Luke Shaw,"[85.3, 0.1]"
398,600,England,Luke Shaw,"[101.2, 0.1]"
399,601,England,Jude Bellingham,"[100.0, 11.7]"
400,602,England,Luke Shaw,"[100.3, 3.5]"
401,603,England,Philip Foden,"[106.7, 3.9]"
402,604,England,Harry Kane,"[96.2, 10.7]"
403,605,England,Luke Shaw,"[102.1, 24.0]"
404,606,England,Jude Bellingham,"[110.2, 18.9]"
405,608,England,Harry Kane,"[93.6, 20.4]"
406,609,England,Declan Rice,"[82.3, 34.5]"
407,610,England,Kyle Walker,"[74.0, 63.7]"
408,611,England,Bukayo Saka,"[97.2, 72.1]"
409,612,England,Kyle Walker,"[88.5, 74.2]"
410,613,England,Jordan Brian Henderson,"[99.4, 75.3]"
411,614,England,Bukayo Saka,"[89.6, 67.7]"
412,615,England,Harry Maguire,"[76.1, 35.0]"
413,616,England,Luke Shaw,"[90.7, 5.6]"
414,617,England,Philip Foden,"[92.3, 18.9]"
415,618,England,Luke Shaw,"[86.2, 10.5]"
416,619,England,Harry Maguire,"[69.6, 18.9]"
417,620,England,John Stones,"[43.1, 40.5]"
418,621,England,Jordan Pickford,"[18.8, 37.2]"
419,622,England,Harry Kane,"[73.7, 16.0]"
420,623,England,Philip Foden,"[88.1, 23.6]"
421,627,England,Harry Maguire,"[67.6, 31.4]"
422,634,England,Harry Kane,"[87.3, 35.6]"
423,642,England,Jordan Pickford,"[7.0, 44.1]"
424,645,England,John Stones,"[58.1, 38.8]"
425,646,England,Luke Shaw,"[65.3, 17.1]"
426,647,England,Harry Kane,"[76.1, 27.6]"
427,648,England,Bukayo Saka,"[100.0, 70.1]"
428,649,England,Jordan Brian Henderson,"[116.6, 74.2]"
429,650,England,Kyle Walker,"[67.1, 76.2]"
430,651,England,John Stones,"[53.5, 51.0]"
431,652,England,Harry Maguire,"[65.9, 25.3]"
432,653,England,Luke Shaw,"[88.1, 3.5]"
433,667,England,Luke Shaw,"[43.9, 28.2]"
434,668,England,Philip Foden,"[57.6, 17.7]"
435,669,England,Luke Shaw,"[47.1, 12.6]"
436,670,England,Philip Foden,"[105.7, 14.5]"
437,674,England,Jordan Brian Henderson,"[89.6, 80.0]"
438,675,England,Declan Rice,"[81.2, 75.1]"
439,676,England,Jordan Brian Henderson,"[83.3, 77.3]"
440,677,England,Kyle Walker,"[65.9, 72.5]"
441,678,England,Declan Rice,"[72.9, 67.4]"
442,679,England,John Stones,"[50.8, 52.1]"
443,680,England,Harry Maguire,"[37.5, 28.8]"
444,681,England,Philip Foden,"[39.5, 10.5]"
445,682,England,Harry Maguire,"[13.3, 8.5]"
446,683,England,Jordan Pickford,"[11.7, 42.6]"
447,684,England,John Stones,"[21.1, 56.3]"
448,685,England,Declan Rice,"[29.4, 47.5]"
449,686,England,Harry Kane,"[52.5, 43.1]"
450,687,England,Jordan Brian Henderson,"[95.7, 62.0]"
451,688,England,Kyle Walker,"[105.6, 71.2]"
452,689,England,Kyle Walker,"[105.6, 80.0]"
453,699,England,Jude Bellingham,"[70.6, 8.8]"
454,701,England,Declan Rice,"[43.7, 24.6]"
455,702,England,Harry Kane,"[71.9, 28.2]"
456,703,England,Philip Foden,"[82.9, 30.4]"
457,709,England,Jude Bellingham,"[59.0, 38.3]"
458,710,England,Jordan Brian Henderson,"[64.2, 50.8]"
459,711,England,Kyle Walker,"[51.8, 66.9]"
460,712,England,John Stones,"[28.3, 57.4]"
461,713,England,Jordan Pickford,"[10.6, 31.4]"
462,719,England,Bukayo Saka,"[47.1, 51.9]"
463,720,England,Jordan Brian Henderson,"[66.5, 74.8]"
464,721,England,Jude Bellingham,"[67.6, 65.8]"
465,722,England,Kyle Walker,"[43.9, 74.8]"
466,723,England,Declan Rice,"[47.4, 65.2]"
467,724,England,John Stones,"[45.0, 47.9]"
468,725,England,Kyle Walker,"[45.9, 67.7]"
469,726,England,Jordan Brian Henderson,"[57.5, 76.8]"
470,727,England,Kyle Walker,"[32.7, 71.5]"
471,728,England,John Stones,"[25.9, 42.6]"
472,729,England,Harry Maguire,"[35.6, 14.5]"
473,730,England,Philip Foden,"[60.2, 14.5]"
474,731,England,Jude Bellingham,"[63.0, 27.3]"
475,732,England,Luke Shaw,"[63.0, 10.2]"
476,733,England,Jude Bellingham,"[60.9, 19.4]"
477,734,England,Harry Maguire,"[45.3, 13.7]"
478,735,England,John Stones,"[57.5, 55.1]"
479,736,England,Bukayo Saka,"[76.9, 76.4]"
480,737,England,Jordan Brian Henderson,"[83.3, 66.9]"
481,738,England,Kyle Walker,"[78.1, 52.1]"
482,743,England,John Stones,"[35.5, 43.7]"
483,744,England,Jordan Pickford,"[7.4, 35.9]"
484,745,England,Luke Shaw,"[47.1, 4.5]"
485,746,England,Jude Bellingham,"[50.3, 13.7]"
486,747,England,Harry Maguire,"[27.2, 12.3]"
487,748,England,John Stones,"[29.5, 59.6]"
488,749,England,Jordan Brian Henderson,"[48.6, 59.9]"
489,750,England,John Stones,"[34.9, 60.3]"
490,751,England,Jordan Brian Henderson,"[43.3, 72.9]"
491,752,England,John Stones,"[43.3, 57.7]"
492,753,England,Jordan Brian Henderson,"[38.1, 71.2]"
493,754,England,Jordan Pickford,"[25.4, 47.6]"
494,755,England,Kyle Walker,"[40.2, 72.1]"
495,756,England,John Stones,"[33.4, 64.6]"
496,757,England,Declan Rice,"[38.9, 63.1]"
497,758,England,Kyle Walker,"[39.8, 76.4]"
498,759,England,Marcus Rashford,"[51.4, 67.5]"
499,760,England,Kyle Walker,"[48.0, 51.5]"
500,761,England,Marcus Rashford,"[62.1, 74.8]"
501,762,England,Jordan Brian Henderson,"[62.4, 62.6]"
502,763,England,Declan Rice,"[49.7, 38.3]"
503,764,England,Declan Rice,"[56.0, 23.2]"
504,765,England,Marcus Rashford,"[61.3, 73.6]"
505,766,England,Kyle Walker,"[48.0, 62.0]"
506,767,England,John Stones,"[45.4, 47.6]"
507,768,England,Jordan Brian Henderson,"[61.8, 52.1]"
508,769,England,Kyle Walker,"[47.1, 62.5]"
509,770,England,John Stones,"[39.2, 48.3]"
510,771,England,Harry Maguire,"[33.7, 18.8]"
511,772,England,Jordan Pickford,"[12.7, 25.6]"
512,778,England,Jordan Pickford,"[16.2, 34.2]"
513,784,England,Luke Shaw,"[23.1, 33.1]"
514,791,England,Jordan Pickford,"[7.0, 44.1]"
515,792,England,John Stones,"[23.3, 65.7]"
516,793,England,Jordan Brian Henderson,"[31.7, 68.7]"
517,794,England,John Stones,"[23.9, 67.5]"
518,795,England,Declan Rice,"[33.4, 58.5]"
519,796,England,Jordan Pickford,"[19.6, 30.5]"
520,797,England,Harry Maguire,"[18.7, 23.6]"
521,798,England,John Stones,"[17.8, 55.7]"
