match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
3857285,2022-11-21,18:00:00.000,International - FIFA World Cup,2022,Senegal,Netherlands,0,2,available,available,2023-01-01T03:21:12.667357,2023-01-04T12:22:28.003088,1,Group Stage,Al Thumama Stadium,Wilton Pereira Sampaio,Aliou Cissé,Louis van Gaal,1.1.0,2,2
3857281,2022-11-27,18:00:00.000,International - FIFA World Cup,2022,Croatia,Canada,4,1,available,available,2022-12-03T09:40:50.245653,2023-01-14T10:32:14.712326,2,Group Stage,Sheikh Khalifa International Stadium,Andrés Matonte,Zlatko Dalić,John Herdman,1.1.0,2,2
3857280,2022-12-02,21:00:00.000,International - FIFA World Cup,2022,Cameroon,Brazil,1,0,available,available,2022-12-03T15:01:52.417293,2022-12-21T15:59:31.458819,3,Group Stage,Lusail Stadium,Ismail Elfath,Rigobert Song Bahanag,Adenor Leonardo Bacchi,1.1.0,2,2
3857279,2022-11-22,21:00:00.000,International - FIFA World Cup,2022,France,Australia,4,1,available,available,2022-12-02T20:28:09.319056,2023-01-07T16:21:59.487009,1,Group Stage,Al Janoub Stadium   ,Victor Miguel de Freitas Gomes,Didier Deschamps,Graham James Arnold,1.1.0,2,2
3857278,2022-11-29,21:00:00.000,International - FIFA World Cup,2022,Iran,United States,0,1,available,available,2022-12-08T02:16:06.202669,2022-11-30T13:00:59.235349,3,Group Stage,Al Thumama Stadium,Antonio Miguel Mateu Lahoz,Carlos Manuel Brito Leal Queiróz,Gregg Berhalter,1.1.0,2,2
3857277,2022-11-23,12:00:00.000,International - FIFA World Cup,2022,Morocco,Croatia,0,0,available,available,2022-12-21T13:18:26.132091,2022-11-26T11:10:19.194215,1,Group Stage,Al Bayt Stadium,Fernando Andrés Rapallini,Walid Regragui,Zlatko Dalić,1.1.0,2,2
3857276,2022-12-01,17:00:00.000,International - FIFA World Cup,2022,Canada,Morocco,1,2,available,available,2022-12-31T14:25:53.924047,2022-12-12T17:57:41.588844,3,Group Stage,Al Thumama Stadium,Raphael Claus,John Herdman,Walid Regragui,1.1.0,2,2
3857275,2022-11-30,17:00:00.000,International - FIFA World Cup,2022,Tunisia,France,1,0,available,available,2022-12-02T12:42:35.906761,2022-12-01T15:27:09.573886,3,Group Stage,Education City Stadium ,Matthew Conger,Jalel Kadri,Didier Deschamps,1.1.0,2,2
3857274,2022-11-25,18:00:00.000,International - FIFA World Cup,2022,Netherlands,Ecuador,1,1,available,available,2022-12-04T00:54:15.459074,2022-11-27T18:09:26.392233,2,Group Stage,Sheikh Khalifa International Stadium,Mustapha Ghorbal,Louis van Gaal,Gustavo Julio Alfaro,1.1.0,2,2
3857273,2022-11-25,12:00:00.000,International - FIFA World Cup,2022,Wales,Iran,0,2,available,available,2022-12-04T00:05:17.090997,2022-12-13T18:18:22.489148,2,Group Stage,Ahmad bin Ali Stadium,Mario Alberto Escobar Toca,Robert Page,Carlos Manuel Brito Leal Queiróz,1.1.0,2,2
3857272,2022-11-25,21:00:00.000,International - FIFA World Cup,2022,England,United States,0,0,available,available,2022-12-02T07:56:28.791940,2022-12-08T05:22:48.650006,2,Group Stage,Al Bayt Stadium,Jesús Valenzuela Sáez,Gareth Southgate,Gregg Berhalter,1.1.0,2,2
3857271,2022-11-21,15:00:00.000,International - FIFA World Cup,2022,England,Iran,6,2,available,available,2022-12-03T23:17:21.873115,2022-11-22T10:55:42.569397,1,Group Stage,Sheikh Khalifa International Stadium,Raphael Claus,Gareth Southgate,Carlos Manuel Brito Leal Queiróz,1.1.0,2,2
3857268,2022-11-23,21:00:00.000,International - FIFA World Cup,2022,Belgium,Canada,1,0,available,available,2022-12-21T15:29:54.808849,2022-12-21T15:59:30.172437,1,Group Stage,Ahmad bin Ali Stadium,Janny Sikazwe,Roberto Martínez Montoliú,John Herdman,1.1.0,2,2
3857267,2022-11-29,17:00:00.000,International - FIFA World Cup,2022,Ecuador,Senegal,1,2,available,available,2022-12-02T12:39:00.017665,2022-12-02T08:38:41.720240,3,Group Stage,Sheikh Khalifa International Stadium,Clément Turpin,Gustavo Julio Alfaro,Aliou Cissé,1.1.0,2,2
3857265,2022-11-22,18:00:00.000,International - FIFA World Cup,2022,Mexico,Poland,0,0,available,available,2022-12-04T01:37:33.060840,2022-12-07T03:22:24.996783,1,Group Stage,Stadium 974,Chris Beath,Gerardo Daniel Martino,Czesław Michniewicz,1.1.0,2,2
3857264,2022-11-30,21:00:00.000,International - FIFA World Cup,2022,Poland,Argentina,0,2,available,available,2022-12-02T12:41:41.021914,2022-12-21T15:57:40.438577,3,Group Stage,Stadium 974,Danny Desmond Makkelie,Czesław Michniewicz,Lionel Sebastián Scaloni,1.1.0,2,2
3857262,2022-12-02,17:00:00.000,International - FIFA World Cup,2022,South Korea,Portugal,2,1,available,available,2022-12-07T23:05:26.967092,2023-01-04T12:14:53.577809,3,Group Stage,Education City Stadium ,Facundo Tello Figueroa,Paulo Jorge Gomes Bento,Fernando Manuel Fernandes da Costa Santos,1.1.0,2,2
3857261,2022-11-29,21:00:00.000,International - FIFA World Cup,2022,Wales,England,0,3,available,available,2022-12-03T15:21:14.146399,2022-11-30T10:56:48.878433,3,Group Stage,Ahmad bin Ali Stadium,Slavko Vinčić,Robert Page,Gareth Southgate,1.1.0,2,2
3857260,2022-11-30,21:00:00.000,International - FIFA World Cup,2022,Saudi Arabia,Mexico,1,2,available,available,2022-12-02T12:40:43.002333,2022-12-01T19:56:40.363859,3,Group Stage,Lusail Stadium,Michael Oliver,Hervé Renard,Gerardo Daniel Martino,1.1.0,2,2
3857258,2022-11-24,21:00:00.000,International - FIFA World Cup,2022,Brazil,Serbia,2,0,available,available,2023-01-21T03:39:43.893560,2022-12-06T17:57:00.355945,1,Group Stage,Lusail Stadium,Alireza Faghani,Telê Santana da Silva,Dragan Stojković,1.1.0,2,2
3857257,2022-11-30,17:00:00.000,International - FIFA World Cup,2022,Australia,Denmark,1,0,available,available,2022-12-02T12:44:12.224286,2022-12-21T16:01:27.541055,3,Group Stage,Al Janoub Stadium   ,Mustapha Ghorbal,Graham James Arnold,Kasper Hjulmand,1.1.0,2,2
3857255,2022-12-01,21:00:00.000,International - FIFA World Cup,2022,Japan,Spain,2,1,available,available,2022-12-10T19:20:10.495102,2022-12-21T15:58:42.193326,3,Group Stage,Sheikh Khalifa International Stadium,Victor Miguel de Freitas Gomes,Hajime Moriyasu,Luis Enrique Martínez García,1.1.0,2,2
3857254,2022-11-22,15:00:00.000,International - FIFA World Cup,2022,Denmark,Tunisia,0,0,available,available,2022-12-03T21:59:58.818543,2022-11-23T11:59:54.822468,1,Group Stage,Education City Stadium ,César Arturo Ramos Palazuelos,Kasper Hjulmand,Jalel Kadri,1.1.0,2,2
